pair_id,idx_11000nm,idx_pan,distance_m,fpa_wl0,fpa_wl1,n_matches,n_inliers,inlier_ratio,mean_conf
41903_25413,41903,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9685249924659729
41902_25413,41902,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9678955078125
41901_25413,41901,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9683586955070496
41900_25413,41900,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9687647223472595
41899_25413,41899,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9690626263618469
41898_25413,41898,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9691324234008789
41897_25413,41897,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9689313769340515
41896_25413,41896,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9689207077026367
41895_25413,41895,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.968982994556427
41894_25413,41894,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9693601131439209
41861_25413,41861,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9680382609367371
41860_25413,41860,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9674100875854492
41891_25413,41891,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9691154360771179
41890_25413,41890,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9688904285430908
41889_25413,41889,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9693263173103333
41888_25413,41888,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9697424173355103
41887_25413,41887,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9699156880378723
41886_25413,41886,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9698337912559509
41885_25413,41885,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9697064757347107
41884_25413,41884,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9702895879745483
41883_25413,41883,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9699071645736694
41882_25413,41882,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9697943925857544
41881_25413,41881,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9691889882087708
41880_25413,41880,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9687743186950684
41879_25413,41879,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9689521193504333
41878_25413,41878,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9694005250930786
41845_25413,41845,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9665773510932922
41844_25413,41844,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9666805863380432
41875_25413,41875,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9683385491371155
41874_25413,41874,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9683529734611511
41873_25413,41873,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9685590863227844
41872_25413,41872,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9677656292915344
41871_25413,41871,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9679571390151978
41870_25413,41870,25413,7.024347694522669,12.0,11.9,784,784,1.0,0.9677239060401917
